1;Nord Coast Coffee Roastery;Deichstraße 9;Altstadt;4.8
2;Mamalicious;Max-Bräuer-Allee 277;Sternschanze;4.7
3;Mit Herz und Zucker;Lübecker Str. 29;Hohenfelde;4.7
